,text
32,"Університет, архітектура, сад, англійський дворик все чудово! Екскурсії набирають настільки великі (людина 50), що половина інформації проходить повз. Потім ще 10 хвилин екскурсії губиться, т.к. у церкві (по ходу екскурсії) починають…"
33,"Швидкий, зручний сервіс оформлення паспорту. Привітні працівники."
34,"Якби можна було поставити 0 зірочок, я би поставила 0."
35,Записався на 9.00. Відкрилися та протягом 5 хвилин обслужили. Все зробили у кращому вигляді.
36,"Перші враження та емоції просто чудові! Атмосфера чудова, подають матеріал дуже якісно і зрозуміло, якщо раптом чогось не зрозуміло обов'язково пояснять ще раз. Крім навчання програмування є чудова можливість вивчати англійську, навчання…"
37,"Прекрасний університет, колишня столична резиденція. Цілком рекомендую до перегляду."
38,"Пам'ятаю я часи, коли щоб зробити якийсь документ потрібно було відвідати купу інстанцій, вистояти у чергах із лайкою у напівпідвальних приміщеннях….
І як же приємно тепер приходити в нормальне приміщення, взяти талон у чергу, без…"
39,"Дякую величезне всім, хто за три дні зустрівся нам у Центрі. Каті, Дімі, Артему, дівчаткам-адміністраторам (їхні імена не встигли дізнатися, так хвилювалися, обираючи собаку) сьогодні наш перший день у будинку. Кора передає всім привіт та…"
40,"Відмінний ВНЗ, який безпосередньо спрямований на підготовку та навчання ІТ-фахівців під потреби сучасного ринку. Без ""води"" та зайвої теоретичної частини. Максимум практичних завдань. Рекомендую!"
41,"Жахливий досвід. Наче повернулась в радянську добу. Не думала, що в державних установах ще є такі пережитки совка. Радила б керівництву порозмовляти з працівниками про культуру поведінки і мінімальної поваги до пенсіонерів."
42,"Була на прийомі у Станіслава Васильовича. Консультація на вищому
рівні! Професіонал своєї справи!"
43,"Кравцова Марина Василівна – типовий держспівробітник. Хамовитий і зневажаючий відвідувачів. Таке враження, що тих, кого вона бачить за віконцем, за замовчуванням ненавидить. Її на робочому місці аж трясе. Вкрай не стримана, якщо їй…"
44,Зверталася за наданням послуг двічі. Робота виконувалася якісно та в обумовлені терміни. Висококласні спеціалісти.
45,"Приємно, коли у владних кабінетах знаходиш розуміння, підтримку і допомогу. Доброго здоров'я!!!"
46,"НАЙКРАЩИЙ ВНЗ !!!!  ТАК, ТАК, Я НЕ ПОМИЛИСЯ!!!!  САМЕ ВНЗ. ТУТ ГОТОВЛЯТЬ ТЕХНІКІВ-БУДІВЕЛЬНИКІВ-ТЕХНОЛОГІВ, ЗА РІЗНИМИ БУДІВЕЛЬНИМИ НАПРЯМКАМИ, А ТАК Ж МАЙСТРІВ ВИРОБНИЧОГО опромінювання (ВЧИТЕЛЬІВ ШКІЛ, ЛІЦЕЇВ, ТИХНИКІВ, ТИХНИКІВ, ТИХНІВ). ПРИМІТНІ ВИКЛАДНИКИ, ЯКІ НЕ ВСТУПЛЯЮТЬ КРАЩИМ У ХАРКІВІ І ДАЮТЬ ЗНАННЯ ПОДІБНІ ХІСІ."
47,"Дякую велике за сервіс👌були обмежені по часу, для того, щоб відновити знищені під час бойових дій документи.
Без проблем і швидко все зробили в ЦНАП, без  звернення до інших органів.
Чудовий кваліфікований персонал.…"
48,"Дуже гарне мрео, все склав з 1 разу, працівники дуже доброзичливі)"
49,"Зробіть вежу, якщо ви до цього.  Це дешево і добре тренується.  Я вважаю, що не рекомендую, якщо ви боїтеся висоти або втратите форму, але з вершини відкривається чудовий краєвид на місто, і ви винагороджуєтеся приємним прохолодним вітерцем після напруженого підйому... тож це приємно."
50,"Адвокат Віктор Дубінський бере гроші і не виконує свою роботу, погрожує, бере хабарі. Не рекомендую мати з ним справу."
51,"Робили пірсинг смайл,не боляче і бистро дуже дякуємо за таку процедуру,дитина рада."
52,Контактний телефон існує тільки на папері. Не відповідає ніколи. Фу. Для чого пишете панове?
53,"Це жах, після відвідин попав ніби в радянський союз. Електронна черга не працює, люди ідуть до операторів будь як. Повний хаос."
54,"За вхід на територію із вас офіційно візьмуть 50 грн.
Цікаве місце, щоб прогулятись. За університетом великий парк, але в ньому зовсім не прибрано, лавочок немає."
55,"Був на консультації у Валерії Юрівни, дуже гарний обізнаний у різних сферах юрист, рекомендую до звернення"
56,"Була у Романа Володимировича з приводу відстрочки,надав якісну консультацію."
57,Реально. Ну дуже крутий злагоджений та професійний сервіс з оформлення біометричних документів. Підійшли з розумом та продумали все до дрібниць. Дякую.
58,"Була на консультації у Романа Володимировича, чітко все пояснив.
Консультацією задоволена.
Дякую за допомогу."
59,"Ідея може й хороша об'єднати все в одну будівлю, але реалізація дуже слабка. Не зрозумієш десь що, черги величезні, всі нервові. Записатися заздалегідь можна лише у відділ реєстрації та паспортів. Все, в інші відділи ніяк цивілізовано не…"
60,"Я навчаюсь у цьому коледжі, раджу сюди вступати так як є широкий вибір спеціальностей, хороші викладачі, можна здобути чудову освіту"
61,"Це просто жесть, отримати рішення суда неможливо. Канцелярія адміністративних справ це повна безвідповідальність. Люди добрі це ж СУД. Рішення суду три тижня вигризала. Зараз пішов четвертий тиждень неможу вигризти рішення з апеляційного…"
62,"Дуже гарне, затишне місце, з неймовірною атмосферою. У притулку можна знайти собі вірного друга і просто погуляти із собачками. Рекомендую кожному хоч раз побувати там і поринути у світ доброти та ласки тварин:)"
63,"Редько Валерія Павлівна, Ви справжній професіонал! Юрист, який справді допоміг у складній ситуації! Звертайтесь до неї в Центр правової допомоги за питаннями по військовим"
64,Дуже хороша академія з індивідуальним підходом до кожного!
65,"Хороший персонал, допоможуть, пояснять, що робити у вашій ситуації та куди звертатися"
66,"Чудова школа, має три поверхи, просторі класи, має великий спортзал і спортивний майданчик біля школи, хороші вчителі"
67,"Франківський ЦНАП на Чупринки 85 - це #перемога. Оперативне обслуговування, приємне відношення,  дитяча кімната. ""В вас нема копії? Нічого, ми вам зробимо"", ""Зробили помилку- нічого страшного, я вам коректором замалюю, не треба переписувати"". З такими змінами нам пряма дорога в Європу!"
68,Була на консультації у Валерії Юріївна по міжнародному спадковому праву.Буду тримати зв'язок.Консультацією задоволена
69,"Здала документи на закордонний паспорт. Сервіс на найвищому рівні! Чудова альтернатива платному паспортному сервісу. Електронна черга записалася за кілька днів. Напередодні мені передзвонили, нагадали мій номер та час. Запросили до кабінету…"
70,"Хлопці, дякую за виконану роботу. Доки отримали. Все вчасно і в строк. Дуже добре."
71,"Так 5, що тут сказати, та не зручний графік, але люди ввічливі і розуміють, і все швидко оформили, втім спасибі) переоформлення особового рахунку зайняло трохи більше 10 хв. Дякую"
72,"Це найпрекрасніше місце на Землі. Колишня Резиденція Митрополитів Буковини і Далмації, а тепер адміністративна споруда Чернівецького національного університету. У свій час, для будівництва цієї перлини ЮНЕСКО було зведено два цегельних…"
73,"Все супер. Дуже швидко зробили дублікати, всі ключі підійшли, відкривають двері краще оригінальних))"
74,"Просто шикарне місце. Неймовірна архітектура.
Вперше, коли приїхав у Чернівці, був надзвичайно вражений. Це те місце, куди хочеться повертатися! Перлина цього чудового міста."
75,"Час 22-13 неділя, а людей довкола – сотні! Львів місто молоді та туристів!"
76,Дуже ввічливі. Професійні та відповідальні. Задоволена надоною послугою. Всім рекомендую.
77,"Отримала , дякую !!!! Як подати заявку на бронювання коштів ?  Не можу знайти"
78,"Жахлива кафедра дизайну середовища та її не змінний декан. Хабарництво, зарозумілість та жлобство заганяють у глибоку депресію. На третьому курсі перевівся в інший вуз і помітив величезну різницю. Не рекомендую. Пс працюю за фахом, але це не заслуга цієї богадільні."
79,"Жах!!! Згiдно закону "" Про адмiнiстративнi послуги"" послуга зняття з реэстрацii та реэстрацiя мiсця проживания здiйснюэться: "" У день звернення особи"". Подала 23 квiтня документи, заповнила заяву. Чоловiк перепитав, чи бiльше нiяких…"
80,Хто може підказати/розповісти на рахунок вступу до магістратури (спеціальність англійська мова)?
81,"407 сходинок (можна піднятись на ліфті і скоротити їх до 307)
20 грн квиток
Чудове місце для фотосессій та відчуття простору."
82,"Приємні враження від відвідування державної установи.
Приємно, що починаючи з керівника- кожен працівник знає і виконує свою роботу. Кожен шукає можливість допомогти і порадити, а не уникнути зони відповідальності.…"
83,"Робила закордонний паспорт в адміністратора Кравченко Олени, дуже сподобалося ставлення та оперативність."
84,"Дуже зручний сервіс. Отримували перший паспорт ID картку в 14 років. Враження: швидко і дуже зручно. Можливість вибрати фото. Порівняно з тим, як отримували паспорт для старшого сина в 2016 (в паспортному столі) - це небо і земля. Дякую працівникам."
85,"Звернулась з питанням по ФОПівським документам. Три хвилини - моє питання вирішили, люб'язно і кваліфіковано. Дякую за роботу!"
86,"Дякую велике Вам, дівчата з Центру надання адміністративних послуг міста Львів !!. Звернулися з проханням, щодо провести збір коштів для ЗСУ  !!! Швидко зробили дозвіл і з посмішкою !!! Велика подяка  !!!"
87,"Цієї осені завелися в будинку миші. До зими їх стала величезна кількість.
Дякую за надану допомогу.
За кілька днів гризуни зникли."
88,"Академія ""ШАГ"" — неймовірне місце для розвитку наших дітей. Син здобув відмінні знання в програмуванні та технологіях завдяки висококваліфікованому викладацькому складу та цікавій навчальній програмі. Індивідуальний підхід, підтримка та…"
89,"Навчаюся на 2 році в Малій Академії. Жодної секунди не шкодую про те, що є студентом КРОКУ, а навіть навпаки - пишаюся цим! На окрему увагу заслуговують викладачі. У кожного своя методика викладання, але кожна з них по-своєму хороша, а…"
90,"Хлопці просто супер! Знають свою працю. Приємно співпрацювати. Рекомендую як відмінних фахівців. Удачі та процвітання Вашому бюро.
А тепер конкретніше. Співпрацюю з Олександром Переверзєвим. Вчора завдяки його досвіду здобули перемогу у безнадійній справі. Це перша наша перемога. Значить виграємо і бій."
91,"Щось особливо не хвалять Напевно, тому що немає бюджету"
92,"Люди чекають по 2/3 години, літні, і з маленькими дітьми, на питання де у вас туалет, сказали його у них немає. ДНО, ДНІЩЕ (("
93,"Була на консультації у юриста Олега Вікторовича , все дуже  сподобалось. Велике дякую!!!"
94,"Відразу зайшла в салон ... і зустрічають з посмішкою та гостинністю) дуже приємні люди 🤍 тату матер Яна вміє робити свою роботу!) Мені все сподобалося, прийду обов'язково ще!…"
95,"Дуже дякую вашому центру! Розвитку та процвітання вам!
Спасибі докторові Наталі Міринській, допомогла нашому собаці, заспокоїла неспокійних господарів))). Відразу на місці зробили УЗД. Приголомшливий лікар, дуже…"
96,Вказано неправильно телефон! Неможливо додзвонитися!
97,"Мені дуже подобається навчання в академії Шаг. Я кожного разу чекаю на новий урок, постійно готуюсь до нього. Усі зайняття  проходять у зрозумілій формі навіть для людини, яка нічого раніше не розуміла. Домашні завдання допомагають…"
98,"Несподівано приємне враження. Незважаючи на карантин, працюють злагоджено, спокійно. Найбільше сподобалося людське ставлення. Працівники ставляться з розумінням та допомагають вирішити проблему. Немає і натяку на бюрократизм. Якщо чогось не знав розкажуть, якщо щось забув нагадають. Допомагають одним словом. Дякую."
99,Прийшла з питанням вклеїти фото.Все вирішила протягом 10 хв.Дякую Величезне!!!
100,"На жаль, адміністратор не перераховує перелік документів для прописки (я взяла паспорт, інд номер і договір купівлі продажу квартири). Треба було ще Витяг.
Довелося знову їхати додому та записуватись другого дня."
101,"Є номер телефону, але додзвонитися не можна. Протягом усього дня не змогла додзвонитися.  Таке враження, що просто вирішили зняти трубку телефону та морозитись!!!"
102,"Щоразу не доводиться. Також отримували рішення із помилками, виправлення яких зірвало терміни подальшого вирішення справи.
Можуть не перевірити інформацію у справі, через яку вони взагалі мають закривати…"
103,"Доброго вечора, почала навчатися в Кроку і дуже задоволена своїм вибором Академія зручно розташована в місті, немає проблем з транспортом. Мені подобається що знаходиться близько з метро Гагаріна, будинок комфортний, чистий і приємно там…"
104,"Була на консультації у юриста Романа Володимировича. Консультацією задоволена, дякую."
105,"Хаї - це я, хаї - це ми, хаї - це найкращі люди країни!"
106,"Подавали документи на оформлення паспорта для дитини. Все просто класно та злагоджено. Дуже задоволені,що звернулись саме в Цнап. Дякую."
107,"Що за гавняна контора? Ні сайту, ні зв'язку, ні онлайн послуг. Люди ви що? У якому столітті ваша контора живе?"
108,"Цілий день бігаємо як дурні щоб подати заяву на розпис, а вони відправляють на Грушевського 16 або в інші відділи.... як це називається, контактні номери або зайняті або не беруть слухавку... Я вагітна жінка і бігаю по цих відділах а нікому…"
109,"Був на консультації у Валерії Юріївни по спадковому праву.Роз'яснила доступно та зрозуміло.Рекомендую,консультацією задоволений."
110,"На хореограф туди не йти, викладач Покровська за класиком, я як талановита, вона прогнала мене і спеціально не ставить оцінку залік і іспит, домовилися зустрітися стоб і чекаю з, 10до 15ч а потім каже я йду, давай завтра, а факт нічого, з…"
111,"Рекомендую академію КРОК не лише для дітей, а й для дорослих. На сучасній технічній базі викладають актуальний та цікавий матеріал. Лекції проходять насичено та захоплююче – час летить непомітно. Отримані знання можна застосовувати не тільки за профілем навчання, але й у повсякденному житті, виходячи з навколишнього середовища."
112,"Залишаю новий відгук про роботу Наталії. Нещодавно допомогла моїм батькам із продажем дачі. Швидко підготувала та провела через нетрі землеустрою необхідні документи, без яких продаж не відбувся б. Велике людське спасибі їй від мене та від…"
113,"Якщо оцінювати приміщення, а не установу, то можна відзначити модерність і охайність. Приємно вразили фотовиставки в коридорах"
114,"У вестибюлі охорона, за Вами спускається інспектор
Корупція цією конторою править
Ніх... не змінилося
Потрібно міняти людей, без цього..."
115,"Я закінчив Академію в 2019 році, і зараз мій син щойно вступив до Академії. Програма навчання ідеальна, викладачі професіонали. Моя рекомендація"
116,"Прекрасне місце. Заради нього до Чернівців і їхали, але хотілося б на екскурсії зайти й до інших аудиторій і більше відчути атмосферу."
117,"Була тут на екскурсії. Все чисто і акуратно, тварини містяться в чистоті, нагодовані, напоєні та обігріті. Мені все сподобалося."
118,"Доброго часу доби хотів би розповісти трохи про академію.  На даний момент я є учнем, загалом мені дуже подобається тут навчатися. Багато часу ми приділяємо практиці. У всьому нам допомагають викладачі, кожен з них чудово підносить новий…"
119,"Хочу висловити щиру подяку як всій школі, так і менеджерам за професіоналізм та уважне ставлення. Ми зіткнулися з проблемою вибору корисних та цікавих занять для дитини на літо, але завдання виявилося складнішим, ніж очікували, тому що.…"
120,"Не вперше звертаємося, завжди дуже задоволені сервісом! Ввічливо, оперативно, професійно. Сьогодні чоловік з донькою запізнилися, проте їм пішли назустріч, документи прийняли. Особлива подяка Рожковій Катерині за приділений час та увагу!"
121,"Записалася за 2 тижні до подачі документів на Е малютко. Прийшла за 15 хвилин до свого прийому (запис на 15:00)
Ніхто не каже куди йти, де чекати, тільки за вашою ініціативою. Черга на ресепшн…"
122,"Всім привіт! Хочу залишити відгук про комп'ютерну Академію Крок. Ми ходимо вже другий рік, результат дуже помітний. Покохав комп'ютер, навчився створювати ігри, дуже це його захопило. У групі 12 днів. З усіма потоваришував. Хлопці одного…"
123,"27.06.23. Сидимо в паспортному сервісі вже 2 години, людей велика, черга є, але вони закриті! (2 роки тому, все працювало). величезна, пуфиков мало, обов'язкова оплата страховки за документи."
124,"Жах, суд переносять без причин, і щоразу на місяць, таке відчуття, що суддя Макарова просто не хоче вийти попрацювати.
Ще казус у тому що про перенесення повідомляють за 2-3 години до призначеного засідання і то треті особи."
125,Тут є чудова автошкола з гарним викладачем та інструктором в одній особі.
126,"Була на консультації у Олександра Володимировича по питанню розлучення.
Все пояснив, роз'яснив.
Сподобалося.
Рекомендую."
127,"Дуже гарна атмосфера.привітний персонал.професійні майстри.
Особливо хочу відмітити майстра Крістіну."
128,"Гарно, обов'язково для прогулянки коли завітаєте в Чернівці"
129,"Чудовий вид на все місто. Дуже вузькі сходи ускладнюють проходження. Але воно того варте! Рекомендую, обов'язковий до перегляду!"
130,"Організовано все добре без черг натовпу, співробітники ввічливі та чуйні ставляться з розумінням"
131,"Жахливе, хамовите відношення. Приймають в порядку живої черги , при тому що стоїть термінал, взяти талони не дозволяють, талон видруковують перед тим як заходити до кабінету. На запитання чому не можна скористатися терміналом, відповіли що…"
132,"Все добре, окрім електропроводки! При включенні кондиціонера знеструмлювався весь центр... дуже спекотно, коли на вулиці 38 градусів у тіні! А так персонал дуже ввічливий, чуйний і з почуттям гумору)"
133,Замовляли нові двері та домофонну систему.  Усі зробили оперативно. Якістю задоволений.
134,"Дякую!
Замовляв юридичну консультацію – зробили все дуже добре, і головне у вказані терміни (це зараз велика рідкість).…"
135,"Вас ніхто не наказував, ви і надалі можете користуватися даним чатом,  я вас спеціально згадав в коментарях, щоб ви знову побачили даний чат. Вам просто треба було повторно увійти в даний чат з коментарями, а ви скоріш за все вийшли з нього, коли писали мені в особисті повідомлення, тому і витратили його, зараз все гаразд?"
136,"Дякую за тату, дуже добре вийшло. Персоналу окреме спасибі, чудово обслуговують."
137,"Хочу подякувати висококваліфікованому доктору Бондаренко Н.А. неврологічного відділення міської лікарні 4 за її лікування на результат. Позитивна, доброзичлива. Довіра до лікаря і віра у свої сили творять чудеса."
138,"Вислухають.#Пiдутьназустрiч.
За Вас все зроблять.
Нема лишнiх питань."
139,"Ввічливі працівники, швидко та якісно виконують свою роботу."
140,"Ніколи не зіштовхувалася з нотаріусами, обрала за відгуками...і розчарувалася, довго чекали на неї...у результаті вона пішла і відмовилася щось робити...не раджу витрачати час."
141,"Хочу висловити подяку компанії dezcentr pro за виконану роботу.
Дезінфектор Олександр швидко та якісно оброблений квартиру від Прусаків.
Через три дні вже не було жодного таргана.
Рекомендую."
142,"Спортивні свята на стадіоні ""Південний"" ну просто чудові."
143,Прийшли подати заяву на шлюб але нас просто ігнорували і займалися своїми справами... Сказали що їдуть на виїздну церемонію і залишається один працівник... Відправили на Грушевського 16 так як і в Залізничному РАЦСі... Я вагітна маю бігати по РАЦСах щоб подати заяву.... Дуже незадоволені ситуацією... Так не можна з людьми
144,"Чудова фірма, ввічливий та компетентний персонал. Залишилися лише позитивні емоції від співробітництва"
145,"Дуже задоволена роботою відділу реєстрації/зняття з реєстрації місця проживання фізичних осіб. Спеціалісти компетентні, привітні, все зробили швидко. Дякую за роботу. Бажаю успіхів у подальшій роботі та процвітання!!!!"
146,Зверталася до ЦНАП для оформлення закордонних паспортів для дітей. Була приємно вражена комфортом і швидкістю оформлення. Дуже дякую
147,"Хам'ят.
Безвідповідально ставляться до своїх обов'язків"
148,Дякую Тетяні Павловні за якісну і зрозумілу консультацію.
149,"Дякую за оперативну роботу. Дуже приємно і доступно консультували по телефону, гарно прийняли, швидко і ввічливо. Успіху в роботі!"
150,"Високий рівень сервісу для мене визначається часом, який я витрачаю на оформлення документів.Тобто чим менше часу я залучена, тим вище я оцінюю сервіс. Власне саме тому я - клієнт цієї юридичної компанії, конкретно - Ірини Шумської. У нашій співпраці ясність, комфорт і довіра. Тому 5 зірочок від мене. Дякую за співпрацю!"
151,"Чудове обслуговування, приємні консультанти, уважні до деталей, проявили високий рівень професіоналізму та людяності.
Без проблем отримала довідку ВПО для себе та дитини, оформила грошову допомогу…"
